SumSales,Profit margin
131805.13,0.6725127466586468
142001.0,0.6767557974943839
129298.23,0.673796772005309
136258.8,0.6672031457784745
134215.82,0.6663880606622975
131894.39,0.6693528814985991
120088.43,0.6672368853519027
135749.0,0.670874186918504
141712.23,0.6755855158019883
142951.08,0.667130881417615
128128.07,0.6741580513934222
124581.06,0.6706883052688747
130934.43,0.6743064448365491
95892.02,0.656837972544535
142683.08,0.6692424918217352
138024.28,0.6680402897229386
140257.19,0.6749079316361607
140910.82,0.6669773123171095
135826.67,0.6736723354846291
81847.03,0.6261318217655546
130202.16,0.6704086936806578
136219.43,0.6728623809393417
119203.26,0.6632181032632832
115506.27,0.6563087008177132
131153.93,0.6616990432539841
143886.0,0.6692798465451816
74578.35,0.6406262675427923
143682.8,0.6666128444044799
121091.84,0.6733140730209402
97688.65,0.6477175188724585
94396.38,0.6668145536936904
84089.81999999999,0.63557419911233
112850.5,0.6727395979636777
124963.4,0.6673586025988409
138316.28,0.6763902268048273
89276.25,0.6397026084764985
109604.26000000001,0.6614182696913423
119110.11,0.6715098323727515
119863.86,0.6718902594994021
264155.63,0.6663747049419314
122662.51,0.674211786470047
99827.15,0.6547432236620999
128300.35,0.6680952156404873
126535.57,0.678458001967352
138330.94,0.6677243717132263
87584.9,0.6422214331465812
140248.24,0.6690582355971098
136403.0,0.6759382125026576
101115.51,0.6758608051326646
119665.19,0.6652535294516309
151684.5,0.6713606202347636
91112.1,0.6269266101867919
128396.4,0.6746209395278995
78602.52,0.6545657823693185
81345.55,0.6507245940312654
92859.16,0.6381563218965152
135160.26,0.6744457283524018
75564.95,0.6075032141224205
106064.05,0.6728910502663249
67738.38,0.5520117251106389
112093.02,0.6603802805919584
139510.97,0.6662807233008272
71722.98,0.5929059277793532
148056.0,0.6727184308639974
94107.03,0.6473058388942887
116250.77,0.6582689301756883
78498.48,0.5574882469061821
92092.39,0.6494987262248271
111820.26,0.6696260588197523
74148.44,0.5683995509548144
125651.35,0.6664500620168426
94270.4,0.6503780614063375
86971.61,0.6400779518741806
93847.74,0.6428896423078488
114959.65,0.6728373825076885
106687.82,0.6568352413611975
156050.39,0.6631825143147672
111380.13,0.6478097125582454
58826.66,0.5640582008225522
122277.31,0.6754344694040129
123941.64,0.6739594538203626
104007.07,0.6495190182744308
106012.98,0.663003530322419
124835.93,0.6665743588404396
121031.5,0.6709575606350413
68394.21,0.5736992941361557
86809.7,0.6240857876481545
90157.63,0.6422709869369903
105978.62,0.6520147176855106
94119.87,0.6468758403512457
114454.44,0.6678154207036442
83673.57,0.594053414955284
141511.48,0.6676983379722974
96395.62,0.6556119458539713
116769.37,0.6540573953597592
98856.81,0.642523362831554
113572.56,0.6709020206993661
112369.66,0.669132219497683
118475.98,0.6726340647277195
132977.29,0.6706129294708894
111934.19,0.650330252088303
135853.66,0.6666854614001566
122935.78,0.6700187691492258
117302.53,0.6619425003024232
126026.78,0.6747080263417029
115708.63,0.671035773217607
115962.78,0.6501937949400661
83461.82,0.6189874603740968
91229.12,0.6425976705683448
